Year,Totals,Normalize
1971,470,2.6720978579
1972,494,2.6937269489
1973,473,2.6748611407
1974,580,2.7634279936
1975,741,2.869818208
1976,923,2.965201701
1977,1318,3.1199154103
1978,1526,3.1835545336
1979,2661,3.4250448746
1980,2663,3.4253711664
1981,2585,3.4124605474
1982,2546,3.4058583993
1983,2871,3.4580331925
1984,3494,3.5433229006
1985,2917,3.4649364291
1986,2863,3.456821348
1987,3186,3.5032457715
1988,3721,3.57065967
1989,4322,3.6356847625
1990,3887,3.5896145406
1991,4684,3.6706168864
1992,5078,3.7056926965
1993,4078,3.6104472214
1994,3459,3.538950562
1995,3083,3.4889735247
1996,3058,3.4854374811
1997,3204,3.5056925074
1998,933,2.9698816437
1999,1395,3.1445742076
2000,1813,3.2583978041
2001,1903,3.2794387883
2002,1333,3.1248301494
2003,1262,3.1010593549
2004,1159,3.064083436
2005,2012,3.3036279764
2006,2750,3.4393326938
2007,3240,3.5105450102
2008,4789,3.680244837
2009,4724,3.6743098889
2010,4819,3.6829569263
2011,5065,3.7045794497
2012,8480,3.9283958523
2013,11952,4.0774405845
